dist_code,year,state_code,state_name,dist_name,rice_area_(1000_ha),rice_production_(1000_tons),rice_yield_(kg_per_ha),rice_harvest_price_(rs_per_quintal)
1,2007,14,Chhattisgarh,Durg,799.89,1095.84,1369.98,1033.0
1,2008,14,Chhattisgarh,Durg,803.37,704.09,876.42,1421.0
1,2009,14,Chhattisgarh,Durg,789.04,622.05,788.37,1600.0
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1695.77,1825.0
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1756.23,1786.0
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1729.89,2116.0
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1076.95,2977.0
1,2016,14,Chhattisgarh,Durg,858.91,1791.66,2085.96,3956.0
2,2007,14,Chhattisgarh,Bastar,626.07,927.73,1481.83,965.0
2,2008,14,Chhattisgarh,Bastar,627.78,729.33,1161.76,1435.0
2,2009,14,Chhattisgarh,Bastar,626.66,682.46,1089.04,1479.0
2,2010,14,Chhattisgarh,Bastar,621.89,1184.98,1905.45,1425.0
2,2011,14,Chhattisgarh,Bastar,627.73,772.88,1231.23,1862.0
2,2012,14,Chhattisgarh,Bastar,637.8,1341.33,2103.06,2000.0
2,2015,14,Chhattisgarh,Bastar,644.56,664.46,1030.87,2933.0
3,2007,14,Chhattisgarh,Raipur,956.63,1483.28,1550.53,1091.0
3,2008,14,Chhattisgarh,Raipur,942.24,1252.38,1329.15,1594.0
3,2009,14,Chhattisgarh,Raipur,928.66,1307.24,1407.66,1740.0
3,2010,14,Chhattisgarh,Raipur,915.4,1521.13,1661.71,1638.0
3,2011,14,Chhattisgarh,Raipur,958.01,1421.37,1483.67,1696.0
3,2012,14,Chhattisgarh,Raipur,993.68,1974.69,1987.25,1734.0
3,2013,14,Chhattisgarh,Raipur,1009.22,1749.21,1733.23,2452.0
4,2007,14,Chhattisgarh,Bilaspur,716.37,1160.03,1619.32,1009.0
4,2010,14,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83,985.0
4,2012,14,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61,1708.0
4,2013,14,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95,1922.0
4,2014,14,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43,1997.0
4,2015,14,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92,2197.0
4,2016,14,Chhattisgarh,Bilaspur,727.5,1858.19,2554.21,2312.0
5,2007,14,Chhattisgarh,Raigarh,423.06,532.65,1259.04,1045.0
5,2008,14,Chhattisgarh,Raigarh,423.29,500.83,1183.18,1211.0
5,2009,14,Chhattisgarh,Raigarh,420.75,470.53,1118.31,1680.0
